Date,Transporteur,Zone_Destination,Distance_km,Cout_Total_MAD,Temps_Trajet_h,Volume_m3,Tarif_Transporteur_MAD_km,Prix_Carburant_MAD_L,Indice_Trafic,Cout_par_km,Cout_Attendu,Ecart_Cout
2024-02-12,Transco3,Tanger Centre,54.57,163.3,4.79,10.0,4.543792032143475,14.93,6.5,2.99,247.95473119406944,84.65473119406943
2024-11-09,Transco1,Tétouan,13.09,273.76,4.62,4.29,4.09423755645264,11.87,3.1,20.91,53.59356961396506,220.16643038603493
2024-05-14,Transco3,Asilah,91.84,185.4,2.17,9.24,2.6829643759364847,11.85,7.0,2.02,246.40344828600678,61.00344828600677
2024-02-02,Transco3,Asilah,33.29,178.18,0.57,8.57,4.7467071163934245,14.06,6.6,5.35,158.0178799047371,20.162120095262907
2024-08-21,Transco1,Tanger Centre,69.63,66.6,4.68,12.7,4.15944964671954,14.74,4.2,0.96,289.62247890108154,223.02247890108154
2024-09-05,Transco1,Tétouan,38.05,324.3,2.43,13.07,2.814069257087896,14.93,2.0,8.52,107.07533523219443,217.22466476780556
2024-10-14,Transco3,Tanger Centre,56.81,276.21,4.85,1.86,2.4403185574905866,13.77,7.0,4.86,138.63449725104022,137.57550274895976
2024-06-22,Transco3,Tanger Centre,59.2,73.17,4.84,8.12,3.0944582734906616,11.88,5.7,1.24,183.19192979064718,110.02192979064718
2024-08-23,Transco1,Asilah,26.64,175.39,4.34,12.89,3.83618407338305,10.42,8.0,6.58,102.19594371492445,73.19405628507553
2024-02-20,Transco1,Tanger Centre,97.26,458.72,1.83,10.56,2.363040967490746,13.89,5.7,4.72,229.82936449814997,228.89063550185006
2024-10-18,Transco1,Tétouan,79.76,157.8,2.23,17.27,4.329718725687046,12.79,8.7,1.98,345.3383655607988,187.5383655607988
2024-11-10,Transco2,Tétouan,94.55,115.2,4.33,13.52,3.185044834121687,12.12,6.0,1.22,301.14598906620546,185.94598906620547
2024-05-03,Transco3,Tétouan,90.53,270.25,1.93,4.1,4.134326192287293,14.53,6.0,2.99,374.28055018776865,104.03055018776865
2024-11-27,Transco3,Tanger Centre,63.81,493.54,1.26,2.34,3.5964255470254702,10.56,8.9,7.73,229.48791415569525,264.05208584430477
2024-01-23,Transco1,Tanger Centre,92.97,158.92,3.01,13.21,4.948606404338793,12.46,4.6,1.71,460.07193741137763,301.1519374113776
2024-11-28,Transco3,Tanger Centre,17.96,352.46,4.71,1.5,3.642379791868329,10.06,2.2,19.62,65.41714106195519,287.0428589380448
2024-03-02,Transco1,Tanger Centre,27.64,392.73,3.63,12.13,4.536090604408757,12.34,1.3,14.21,125.37754430585805,267.35245569414195
2024-12-09,Transco3,Tanger Centre,14.07,156.94,3.07,18.86,4.925420916318784,10.28,7.8,11.15,69.3006722926053,87.6393277073947
2024-03-24,Transco3,Asilah,39.28,377.7,0.94,11.93,4.075387986524126,10.59,6.6,9.62,160.08124011066766,217.61875988933232
2024-03-07,Transco3,Tanger Centre,44.98,215.5,3.27,8.38,4.480278516816952,10.59,7.3,4.79,201.5229276864265,13.977072313573501
2024-07-09,Transco3,Asilah,34.42,334.54,4.96,13.22,4.0661526140756985,13.25,2.9,9.72,139.95697297648556,194.58302702351446
2024-07-24,Transco3,Tétouan,84.59,335.09,1.13,9.71,4.760692798811069,13.73,2.2,3.96,402.7070038514284,67.61700385142842
2024-08-24,Transco1,Asilah,42.11,291.1,2.83,11.37,2.328627027573344,12.92,1.1,6.91,98.05848413111352,193.0415158688865
2024-10-03,Transco3,Asilah,35.28,90.63,4.45,18.89,3.4939262275154035,14.81,4.2,2.57,123.26571730674344,32.635717306743445
2024-12-25,Transco1,Asilah,58.84,425.89,3.83,8.34,2.480532120721848,11.87,6.3,7.24,145.95450998327354,279.9354900167265
2024-03-16,Transco3,Asilah,22.68,194.35,3.64,19.26,2.860911350608056,11.43,4.5,8.57,64.88546943179071,129.46453056820928
2024-01-14,Transco3,Tanger Centre,82.2,133.93,3.66,18.2,3.316055536564172,14.34,4.9,1.63,272.57976510557495,138.64976510557494
2024-10-17,Transco2,Asilah,16.71,68.35,2.12,4.72,2.732243752121126,11.12,9.1,4.09,45.65579309794401,22.69420690205598
2024-03-01,Transco1,Asilah,98.82,315.9,1.82,2.32,4.251476383422501,14.82,4.1,3.2,420.1308962098115,104.23089620981153
2024-02-28,Transco2,Tanger Centre,79.5,354.9,4.14,2.91,3.0826585630258583,10.06,5.6,4.46,245.07135576055575,109.82864423944423
2024-06-18,Transco3,Tanger Centre,27.88,57.46,4.15,1.35,4.026932980675314,14.85,8.1,2.06,112.27089150122775,54.81089150122775
2024-11-12,Transco2,Tétouan,10.5,280.44,4.4,2.79,4.349761285117408,10.22,4.6,26.71,45.67249349373278,234.7675065062672
2024-09-24,Transco1,Tétouan,83.39,151.92,4.61,13.98,4.822056442935697,14.46,6.6,1.82,402.1112867764078,250.1912867764078
2024-01-29,Transco2,Tétouan,73.62,340.33,2.8,2.35,2.660391526770435,12.64,8.8,4.62,195.85802420083942,144.47197579916056
2024-06-27,Transco3,Tétouan,75.61,128.46,2.76,7.06,4.765851459377597,14.96,9.5,1.7,360.3460288435401,231.88602884354012
2024-06-11,Transco3,Tétouan,79.41,360.92,4.09,17.05,4.056390639363762,10.37,2.3,4.55,322.11798067187635,38.80201932812366
2024-02-06,Transco2,Asilah,16.66,224.03,3.42,1.44,3.633297532883891,12.77,9.3,13.45,60.53073689784563,163.49926310215437
2024-08-09,Transco1,Tétouan,42.26,471.53,3.66,16.47,2.659927838414104,14.85,5.4,11.16,112.40855045138004,359.1214495486199
2024-03-06,Transco2,Tétouan,20.43,111.88,4.08,6.36,3.162597511848468,12.62,3.3,5.48,64.6118671670642,47.26813283293579
2024-10-06,Transco2,Tanger Centre,87.68,203.48,4.51,3.25,3.939024242252924,13.15,5.1,2.32,345.3736455607364,141.89364556073642
2024-07-01,Transco2,Tétouan,66.1,101.06,2.02,14.24,4.198831303281075,13.48,9.8,1.53,277.54274914687903,176.48274914687903
2024-03-01,Transco2,Tanger Centre,39.78,466.11,2.19,12.95,2.0152519653428795,12.27,5.4,11.72,80.16672318133975,385.94327681866025
2024-08-07,Transco2,Tétouan,15.72,444.8,0.92,17.67,2.0893750093081103,13.14,4.0,28.3,32.84497514632349,411.9550248536765
2024-09-02,Transco1,Tanger Centre,37.99,166.07,3.1,14.97,3.1687392407430464,12.92,6.7,4.37,120.38040375582834,45.68959624417165
2024-05-21,Transco3,Tétouan,39.27,346.99,0.66,16.27,4.6809234207278845,14.51,3.2,8.84,183.81986273198405,163.17013726801596
2024-05-01,Transco3,Asilah,75.66,417.75,2.6,6.36,4.708109590342847,10.23,1.7,5.52,356.2155716053398,61.53442839466021
2024-01-02,Transco1,Tétouan,67.38,299.84,2.94,4.37,2.9970505841642883,11.4,2.2,4.45,201.94126836098974,97.89873163901024
2024-02-02,Transco2,Tétouan,89.85,288.34,1.79,15.26,2.980870862609625,14.75,2.2,3.21,267.8312470054748,20.508752994525196
2024-01-31,Transco3,Tétouan,52.5,158.83,3.16,16.33,3.789286161381275,14.45,2.4,3.03,198.93752347251694,40.10752347251693
2024-05-13,Transco1,Tanger Centre,20.76,91.9,0.64,19.82,4.5691408768994375,12.28,2.2,4.43,94.85536460443232,2.9553646044323187
2024-07-15,Transco3,Asilah,74.19,453.75,0.67,8.84,2.3313076833426325,13.1,6.8,6.12,172.9597170271899,280.79028297281013
2024-01-03,Transco2,Tanger Centre,78.47,455.19,4.2,8.07,4.391438181179369,11.39,2.6,5.8,344.5961540771451,110.59384592285488
2024-12-23,Transco1,Asilah,60.51,334.9,2.12,15.75,2.876010712650263,10.94,4.1,5.53,174.02740822246741,160.87259177753256
2024-06-06,Transco2,Tanger Centre,79.39,202.56,1.07,7.48,2.1031129971499603,12.32,9.1,2.55,166.96614084373533,35.59385915626467
2024-12-02,Transco1,Tanger Centre,54.44,207.14,2.85,18.68,2.753288281480712,11.77,5.3,3.8,149.88901404380996,57.25098595619002
2024-02-04,Transco2,Tanger Centre,57.05,376.68,3.96,17.31,4.04327310897877,12.92,7.0,6.6,230.66873086723882,146.01126913276119
2024-07-13,Transco3,Asilah,48.48,453.7,1.47,9.15,3.892967918258015,10.39,2.6,9.36,188.73108467714854,264.96891532285144
2024-12-19,Transco3,Tanger Centre,12.29,449.19,3.3,15.27,3.917604043279891,14.87,2.7,36.55,48.147353691909856,401.0426463080901
2024-10-22,Transco2,Tanger Centre,19.71,400.94,0.88,15.34,2.142897181345422,14.93,1.4,20.34,42.23650344431827,358.70349655568174
